species,sub.species,average_prey_size,refs_comments,prey_species_1,size_g1,percent_diet1,size_ref1,prey_species_2,size_g2,percent_diet2,size_ref2,prey_species_3,size_g3,percent_diet3,size_ref3,prey_species_4,size_g4,percent_diet4,size_ref4,prey_species_5,size_g5,percent_diet5,size_ref5,prey_species_6,size_g6,percent_diet6,size_ref6,prey_species_7,size_g7,percent_diet7,size_ref7,prey_species_8,size_g8,percent_diet8,size_ref8,prey_species_9,size_g9,percent_diet9,size_ref9,prey_species_10,size_g10,percent_diet10,size_ref10,prey_species_11,size_g11,percent_diet11,size_ref11,prey_species_12,size_g12,percent_diet12,size_ref12,prey_species_13,size_g13,percent_diet13,size_ref13,prey_species_14,size_g14,percent_diet14,size_ref14,prey_species_15,size_g15,percent_diet15,size_ref15,prey_species_16,size_g16,percent_diet16,size_ref16,prey_species_17,size_g17,percent_diet17,size_ref17,prey_species_18,size_g18,percent_diet18,size_ref18,prey_species_19,size_g19,percent_diet19,size_ref19,prey_species_20,size_g20,percent_diet20,size_ref20,prey_species_21,size_g21,percent_diet21,size_ref21,prey_species_22,size_g22,percent_diet22,size_ref22,prey_species_23,size_g23,percent_diet23,size_ref23,prey_species_24,size_g24,percent_diet24,size_ref24,prey_species_25,size_g25,percent_diet25,size_ref25,prey_species_26,size_g26,percent_diet26,size_ref26,prey_species_27,size_g27,percent_diet27,size_ref27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsophis_portoricensis,,ant find Diets of West Indian racers (Colubridae: Alsophis): composition and biogeographic implications,,Anolis cristatellus,8.4,NA,Meiri 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphiesma_stolata,,no full data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrotia_stokesii,,comeback need to deal with fish family size,,Batrachoididae,NA,0.888888889,Opisthognathidae,NA,0.111111111,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atractaspis_bibronii,,23.52,only 30% calculated,frog sp,NA,0.032258065,NA,Amphisbaenia,NA,0.064516129,NA,Ztgaspis spp,NA,0.129032258,NA,Monopeltis sp,NA,0.032258065,NA,Monopeltis anchietae,NA,0.032258065,NA,Nucras sp,6.05,0.032258065,Meiri 2010 genus mean,Cordylus spp,43.34,0.032258065,Meiri 2010 genus mean,Lacertidae sp,NA,0.129032258,NA,Ichnotropis spp.,NA,0.064516129,NA,Ichnotropis squamulosa,5.1,0.032258065,Meiri 2010,Scincidae,NA,0.064516129,NA,Acontinae sp,NA,0.032258065,NA,Aparallactus sp,53,0.032258065,genus mean from Boback et al,Lycophidion capense,95,0.032258065,Boback et al,Leptotyphlops scutifrons,6.5,0.064516129,genus mean from Boback et al,Typhlops spp.,32.64,0.064516129,genus mean from Boback et al,Reptile eggs,17.18,0.032258065,NA,Neonatal rodent,NA,0.032258065,NA,Gerbillurus paeba,25.91,0.032258065,Pantheria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atractaspis_dahomeyensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atractaspis_engaddensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atractaspis_microlepidota,,6,only one species,Eirenis coronelloides,6,0.333333333,25cm TL from http://reptile-database.reptarium.cz/species?genus=Eirenis&species=coronelloides&search_param=%28%28genus%3D%27Eirenis%27%29%29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrelaps_superbus,,5.397235,find ref for Ranidella signifera,frog sp,NA,0.147368421,NA,Limnodynaste dumerilii,NA,0.031578947,NA,Limnodynaste peronii,NA,0.010416667,NA,Limnodynaste tasmaniensis,NA,0.073684211,NA,Pseudophryne bibronii,NA,0.010526316,NA,Ranidella signifera,0.891557667,0.021052632,18-28mm find ref,Litoria sp.,NA,0.031578947,NA,Litoria aurea,65.17535998,0.010526316,"mean 86.5mm  (57 to 69 mm, while females range from 65 to 108 mm from http://amphibiaweb.org/cgi/amphib_query?where-scientific_name=Litoria+aurea",Litoria citropa,NA,0.010526316,NA,Scincidae sp,NA,0.094736842,NA,Hemiergis peronii,3.8,0.010526316,Meiri 2010,Lampropholis sp,1.46,0.031578947,genus average from Meiri 2010,Lampropholis delicata,1.2,0.052631579,Meiri 2010,Lampropholis guichenoti,1.1,0.115789474,Meiri 2010,Leiolopismas sp.,NA,0.021052632,NA,Leiolopismas entrecasteauxii,4,0.105263158,synom Pseudemoia Meiri 2010,Leiolopismas metallicum,3.75,0.010526316,genus average Meiri 2010,Leiolopismas trilineatum,3.75,0.105263158,genus average Meiri 2010,Morethia adelaidensis,2.525,0.010526316,genus average Meiri 2010,Sphenomorph tympanum,14.84,0.063157895,genus average Meiri 2010,Amphibolurusd diemensis,10,0.021052632,synom Rankinia diemensis Meiri 2010,Austrelaps sp,NA,0.021052632,NA,Mus musculus,20.5,0.021052632,Myhrvold et al 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitis_arietans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitis_gabonica,,697.1701,,Muridae sp. (newborn),NA,0.076142132,NA,Muridae sp. (adults),NA,0.081218274,NA,Rattus rattus,142.68,0.010152284,Pantheria,Lemniscomys striatus,43.65,0.299492386,Pantheria,Funisciurus sp.,186.29,0.025380711,genus mean Pantheria,Helioscurus sp.,NA,0.005076142,NA,Cricetomys gambianus,1267.52,0.38071066,Pantheria,Shrews sp.,NA,0.060913706,NA,Bird sp,NA,0.025380711,NA,Mochlus fernandii,NA,0.010152284,NA,Trachylepis sp,NA,0.015228426,NA,Trychobatrachus robustus,141.9918934,0.005076142,svl 110 mm http://amphibiaweb.org/cgi/amphib_query?where-scientific_name=Trichobatrachus+robustus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
