species,family,length_cm,length_ref,mass_grams,phylo_distance_diet_model_my,venom_yield_mg,venom_yield_ref,environment,Env_refs,dimensions,constriction,ld50_mg,species,ld50_error,Error_type,ld50_method,ld50_model_class,ld50_model,ld50_ref,fishes,inverts,amphibians,reptiles,birds,eggs,mammals,egg.bin,diet_refs,prey_size_g,max_prey_g
Agkistrodon_contortrix,Viperidae,135,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1248,252.1881306,158,"Ernst, C.H., 1979. Venomous Reptiles of North America. Smithsonian University Press, Washington, D.C.",terrestrial,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,no,2.7,Agkistrodon_contortrix,,cant get page,iv,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,0,37,0,5,4,0,54,no,"Garton, J.S. and Dimmick, R.W., 1969. Food habits of the copperhead in middle Tennessee. J. Tenn. Acad. Sci, 44, pp.113-117.",NA,42.5
Agkistrodon_contortrix,Viperidae,135,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1248,252.1881306,158,"Ernst, C.H., 1979. Venomous Reptiles of North America. Smithsonian University Press, Washington, D.C.",terrestrial,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,no,20,Agkistrodon_contortrix,,cant get page,im,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,0,37,0,5,4,0,54,no,"Garton, J.S. and Dimmick, R.W., 1969. Food habits of the copperhead in middle Tennessee. J. Tenn. Acad. Sci, 44, pp.113-117.",NA,42.5
Agkistrodon_contortrix,Viperidae,135,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1248,252.1881306,158,"Ernst, C.H., 1979. Venomous Reptiles of North America. Smithsonian University Press, Washington, D.C.",terrestrial,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,no,10.92,Agkistrodon_contortrix,,none given,iv,mammal,Mus_musculus,"Russell 1967. Pharmacology of animal venoms. 8, 849-873",0,37,0,5,4,0,54,no,"Garton, J.S. and Dimmick, R.W., 1969. Food habits of the copperhead in middle Tennessee. J. Tenn. Acad. Sci, 44, pp.113-117.",NA,42.5
Agkistrodon_contortrix,Viperidae,135,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1248,252.1881306,158,"Ernst, C.H., 1979. Venomous Reptiles of North America. Smithsonian University Press, Washington, D.C.",terrestrial,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,no,4.99,Agkistrodon_contortrix,3.52-7.07,95_confidence_interval,iv,mammal,Mus_musculus,"Consroe, P., Gerrish, K., Egen, N., Russell, F.E., 1992. Intravenous dose lethality of American pit viper venoms in mice using standardized",0,37,0,5,4,0,54,no,"Garton, J.S. and Dimmick, R.W., 1969. Food habits of the copperhead in middle Tennessee. J. Tenn. Acad. Sci, 44, pp.113-117.",NA,42.5
Agkistrodon_contortrix,Viperidae,135,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1248,252.1881306,158,"Ernst, C.H., 1979. Venomous Reptiles of North America. Smithsonian University Press, Washington, D.C.",terrestrial,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,no,10.5,Agkistrodon_contortrix,,none given,ip,mammal,Mus_musculus,"Russell 1967. Pharmacology of animal venoms. 8, 849-873",0,37,0,5,4,0,54,no,"Garton, J.S. and Dimmick, R.W., 1969. Food habits of the copperhead in middle Tennessee. J. Tenn. Acad. Sci, 44, pp.113-117.",NA,42.5
Agkistrodon_contortrix,Viperidae,135,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1248,252.1881306,158,"Ernst, C.H., 1979. Venomous Reptiles of North America. Smithsonian University Press, Washington, D.C.",terrestrial,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,no,26.1,Agkistrodon_contortrix,,ref in Consroe,sc,mammal,Mus_musculus,"Consroe, P., Gerrish, K., Egen, N., Russell, F.E., 1992. Intravenous dose lethality of American pit viper venoms in mice using standardized",0,37,0,5,4,0,54,no,"Garton, J.S. and Dimmick, R.W., 1969. Food habits of the copperhead in middle Tennessee. J. Tenn. Acad. Sci, 44, pp.113-117.",NA,42.5
Agkistrodon_contortrix,Viperidae,135,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1248,252.1881306,158,"Ernst, C.H., 1979. Venomous Reptiles of North America. Smithsonian University Press, Washington, D.C.",terrestrial,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,no,10.5,Agkistrodon_contortrix,,ref in Consroe,ip,mammal,Mus_musculus,"Consroe, P., Gerrish, K., Egen, N., Russell, F.E., 1992. Intravenous dose lethality of American pit viper venoms in mice using standardized",0,37,0,5,4,0,54,no,"Garton, J.S. and Dimmick, R.W., 1969. Food habits of the copperhead in middle Tennessee. J. Tenn. Acad. Sci, 44, pp.113-117.",NA,42.5
Agkistrodon_piscivorus,Viperidae,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,409.76775,123,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,no,2.88,Agkistrodon_piscivorus,,"cant get Brown JH. 1973. Toxicology and Pharmacology of Venoms from Poisonous Snakes. Springfield, Illinois: Charles C. Thomas. 184 pp. LCCCN 73-229.",iv,mammal,Mus_musculus,"Brown JH. 1973. Toxicology and Pharmacology of Venoms from Poisonous Snakes. Springfield, Illinois: Charles C. Thomas. 184 pp. LCCCN 73-229.",41,19,17,22,0,0,1,no,"Vincent, S.E., Herrel, A. and Irschick, D.J., 2004. Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus). Journal of Zoology, 264(1), pp.53-59.",NA,NA
Agkistrodon_piscivorus,Viperidae,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,409.76775,123,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,no,25.8,Agkistrodon_piscivorus,,cant get page,sc,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,41,19,17,22,0,0,1,no,"Vincent, S.E., Herrel, A. and Irschick, D.J., 2004. Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus). Journal of Zoology, 264(1), pp.53-59.",NA,NA
Agkistrodon_piscivorus,Viperidae,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,409.76775,123,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,no,25.1,Agkistrodon_piscivorus,,ref in Consroe try https://scholar.google.co.uk/scholar?hl=en&as_sdt=0%2C5&q=Toxicity+of+Costa+Rican+snake+venoms+for+the+white+mouse.&btnG=,sc,mammal,Mus_musculus,"Consroe, P., Gerrish, K., Egen, N., Russell, F.E., 1992. Intravenous dose lethality of American pit viper venoms in mice using standardized",41,19,17,22,0,0,1,no,"Vincent, S.E., Herrel, A. and Irschick, D.J., 2004. Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus). Journal of Zoology, 264(1), pp.53-59.",NA,NA
Agkistrodon_piscivorus,Viperidae,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,401.5925,123,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,no,0.31,Agkistrodon_piscivorus,0.16-0.43,Ldmax-Ldmin,iv,bird,Columba_sp,"Githens, T.S., 1935. Studies on the Venoms of North American Pit Vipers. Journal of Immunology, 29(2).",41,19,17,22,0,0,1,no,"Vincent, S.E., Herrel, A. and Irschick, D.J., 2004. Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus). Journal of Zoology, 264(1), pp.53-59.",NA,NA
Agkistrodon_piscivorus,Viperidae,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,409.76775,123,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,no,5.11,Agkistrodon_piscivorus,,none given,ip,mammal,Mus_musculus,"Russell 1967. Pharmacology of animal venoms. 8, 849-873",41,19,17,22,0,0,1,no,"Vincent, S.E., Herrel, A. and Irschick, D.J., 2004. Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus). Journal of Zoology, 264(1), pp.53-59.",NA,NA
Agkistrodon_piscivorus,Viperidae,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,409.76775,123,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,no,4,Agkistrodon_piscivorus,,none given,iv,mammal,Mus_musculus,"Russell 1967. Pharmacology of animal venoms. 8, 849-873",41,19,17,22,0,0,1,no,"Vincent, S.E., Herrel, A. and Irschick, D.J., 2004. Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus). Journal of Zoology, 264(1), pp.53-59.",NA,NA
Agkistrodon_piscivorus,Viperidae,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,409.76775,123,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,no,4.844,Agkistrodon_piscivorus,,cant get page,ip,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,41,19,17,22,0,0,1,no,"Vincent, S.E., Herrel, A. and Irschick, D.J., 2004. Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus). Journal of Zoology, 264(1), pp.53-59.",NA,NA
Agkistrodon_piscivorus,Viperidae,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,409.76775,123,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,no,2.044,Agkistrodon_piscivorus,,cant get page,iv,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,41,19,17,22,0,0,1,no,"Vincent, S.E., Herrel, A. and Irschick, D.J., 2004. Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus). Journal of Zoology, 264(1), pp.53-59.",NA,NA
Agkistrodon_piscivorus,Viperidae,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,409.76775,123,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,no,3.38,Agkistrodon_piscivorus,2.81-4.07,95_confidence_interval,iv,mammal,Mus_musculus,"Consroe, P., Gerrish, K., Egen, N., Russell, F.E., 1992. Intravenous dose lethality of American pit viper venoms in mice using standardized",41,19,17,22,0,0,1,no,"Vincent, S.E., Herrel, A. and Irschick, D.J., 2004. Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus). Journal of Zoology, 264(1), pp.53-59.",NA,NA
Agkistrodon_piscivorus,Viperidae,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,409.76775,123,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,no,6,Agkistrodon_piscivorus,,cant get page,ip,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,41,19,17,22,0,0,1,no,"Vincent, S.E., Herrel, A. and Irschick, D.J., 2004. Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus). Journal of Zoology, 264(1), pp.53-59.",NA,NA
Aipysurus_duboisii,Elapidae,120,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",391,419,0.43,"Minton S.A. (1983) Lethal toxicity of venoms of snakes from the Coral Sea. Toxicon, Vol. 21, No. 6, pp 901-902.",aquatic,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,no,0.044,Aipysurus_duboisii,0.032-0.052,95_confidence_interval,sc,mammal,Mus_musculus,Minton 1983. Lethal Toxicity of venoms of snakes from the coral sea Toxicon 21:901,100,0,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA,0.25
