species,family,length_cm,length_ref,mass_grams,phylo_distance_diet_model_my,venom_yield_mg,venom_yield_ref,environment,Env_refs,dimensions,constriction,ld50_mg,species,ld50_error,Error_type,ld50_method,ld50_model_class,ld50_model,ld50_ref,fishes,inverts,amphibians,reptiles,birds,eggs,mammals,egg.bin,diet_refs,prey_size_g,max_prey_g
Bothrops_jararaca,Viperidae,180,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",2883,216.798175,68,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.; Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; De Roodt A.R., Dolab J.A., Gallarce P.P., Gould E., Litwin S., Dokmetjian, J.C., Segre L. and Vidal J.C. (1998) A study on the venom yield of venomous snake species from Argentina. Toxicon, Vol. 36, pp 1949-1957. ",terrestrial,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). _and_martins_et_al2001",1,no,1.1,Bothrops_jararaca,,,iv,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,0,2.2,17.8,2.2,6.7,0,71.1,no,"Martins, M.A.R.C.I.O., Marques, O.A. and Sazima, I.V.A.N., 2002. Ecological and phylogenetic correlates of feeding habits in Neotropical pitvipers of the genus Bothrops. Biology of the Vipers, pp.307-328.",473.385,NA
Bothrops_jararaca,Viperidae,180,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",2883,216.798175,68,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.; Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; De Roodt A.R., Dolab J.A., Gallarce P.P., Gould E., Litwin S., Dokmetjian, J.C., Segre L. and Vidal J.C. (1998) A study on the venom yield of venomous snake species from Argentina. Toxicon, Vol. 36, pp 1949-1957. ",terrestrial,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). _and_martins_et_al2001",1,no,7,Bothrops_jararaca,,,sc,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,0,2.2,17.8,2.2,6.7,0,71.1,no,"Martins, M.A.R.C.I.O., Marques, O.A. and Sazima, I.V.A.N., 2002. Ecological and phylogenetic correlates of feeding habits in Neotropical pitvipers of the genus Bothrops. Biology of the Vipers, pp.307-328.",473.385,NA
Bothrops_jararaca,Viperidae,180,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",2883,327.75815,68,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.; Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; De Roodt A.R., Dolab J.A., Gallarce P.P., Gould E., Litwin S., Dokmetjian, J.C., Segre L. and Vidal J.C. (1998) A study on the venom yield of venomous snake species from Argentina. Toxicon, Vol. 36, pp 1949-1957. ",terrestrial,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). _and_martins_et_al2001",1,no,91.44,Bothrops_jararaca,73.11-114.79,,ip,amphibian,Rana_catesbeiana,"Andrade, D.V. and Abe, A.S., 1999. Relationship of venom ontogeny and diet in Bothrops. Herpetologica, pp.200-204.",0,2.2,17.8,2.2,6.7,0,71.1,no,"Martins, M.A.R.C.I.O., Marques, O.A. and Sazima, I.V.A.N., 2002. Ecological and phylogenetic correlates of feeding habits in Neotropical pitvipers of the genus Bothrops. Biology of the Vipers, pp.307-328.",473.385,NA
Bothrops_jararaca,Viperidae,180,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",2883,317.687175,68,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.; Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; De Roodt A.R., Dolab J.A., Gallarce P.P., Gould E., Litwin S., Dokmetjian, J.C., Segre L. and Vidal J.C. (1998) A study on the venom yield of venomous snake species from Argentina. Toxicon, Vol. 36, pp 1949-1957. ",terrestrial,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). _and_martins_et_al2001",1,no,1.36,Bothrops_jararaca,0.86-2.07,95_confidence_interval,im,bird,Gallus_domesticus,"Zelanis, A., Tashima, A.K., Rocha, M.M., Furtado, M.F., Camargo, A.C., Ho, P.L. and Serrano, S.M., 2010. Analysis of the ontogenetic variation in the venom proteome/peptidome of Bothrops jararaca reveals different strategies to deal with prey. Journal of proteome research, 9(5), pp.2278-2291.",0,2.2,17.8,2.2,6.7,0,71.1,no,"Martins, M.A.R.C.I.O., Marques, O.A. and Sazima, I.V.A.N., 2002. Ecological and phylogenetic correlates of feeding habits in Neotropical pitvipers of the genus Bothrops. Biology of the Vipers, pp.307-328.",473.385,NA
Bothrops_jararacussu,Viperidae,220,"Milani, et al. 1997. Snake bites by the jararacu講 (Bothrops jararacussu): clinicopathological studies of 29 proven cases in S_o Paulo State, Brazil. Qjm 90.5: 323-334.",5170,215.782625,193,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.; Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; De Roodt A.R., Dolab J.A., Gallarce P.P., Gould E., Litwin S., Dokmetjian, J.C., Segre L. and Vidal J.C. (1998) A study on the venom yield of venomous snake species from Argentina. Toxicon, Vol. 36, pp 1949-1957. ",terrestrial,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). _and_martins_et_al2001",1,no,5.7,Bothrops_jararacussu,4.8-6.6,standard deviation,ip,mammal,Mus_musculus,"Guimar_es, C.L.S., Andri_o-Escarso, S.H., Moreira-Dill, L.S., Carvalho, B.M.A., Marchi-Salvador, D.P., Santos-Filho, N.A., Fernandes, C.A.H., Fontes, M.R.M., Giglio, J.R., Barraviera, B. and Zuliani, J.P., 2014. Alkylation of Histidine Residues of Bothrops jararacussu Venom Proteins and Isolated Phospholipases: A Biotechnological Tool to Improve the Production of Antibodies. BioMed research international, 2014.",0,1.5,16.4,11.9,0,0,70.1,no,"Martins, M.A.R.C.I.O., Marques, O.A. and Sazima, I.V.A.N., 2002. Ecological and phylogenetic correlates of feeding habits in Neotropical pitvipers of the genus Bothrops. Biology of the Vipers, pp.307-328.",452.459,NA
Bothrops_jararacussu,Viperidae,220,"Milani, et al. 1997. Snake bites by the jararacu講 (Bothrops jararacussu): clinicopathological studies of 29 proven cases in S_o Paulo State, Brazil. Qjm 90.5: 323-334.",5170,215.782625,193,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.; Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; De Roodt A.R., Dolab J.A., Gallarce P.P., Gould E., Litwin S., Dokmetjian, J.C., Segre L. and Vidal J.C. (1998) A study on the venom yield of venomous snake species from Argentina. Toxicon, Vol. 36, pp 1949-1957. ",terrestrial,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). _and_martins_et_al2001",1,no,0.46,Bothrops_jararacussu,,,iv,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,0,1.5,16.4,11.9,0,0,70.1,no,"Martins, M.A.R.C.I.O., Marques, O.A. and Sazima, I.V.A.N., 2002. Ecological and phylogenetic correlates of feeding habits in Neotropical pitvipers of the genus Bothrops. Biology of the Vipers, pp.307-328.",452.459,NA
Bothrops_jararacussu,Viperidae,220,"Milani, et al. 1997. Snake bites by the jararacu講 (Bothrops jararacussu): clinicopathological studies of 29 proven cases in S_o Paulo State, Brazil. Qjm 90.5: 323-334.",5170,215.782625,193,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.; Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; De Roodt A.R., Dolab J.A., Gallarce P.P., Gould E., Litwin S., Dokmetjian, J.C., Segre L. and Vidal J.C. (1998) A study on the venom yield of venomous snake species from Argentina. Toxicon, Vol. 36, pp 1949-1957. ",terrestrial,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). _and_martins_et_al2001",1,no,13,Bothrops_jararacussu,,,sc,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,0,1.5,16.4,11.9,0,0,70.1,no,"Martins, M.A.R.C.I.O., Marques, O.A. and Sazima, I.V.A.N., 2002. Ecological and phylogenetic correlates of feeding habits in Neotropical pitvipers of the genus Bothrops. Biology of the Vipers, pp.307-328.",452.459,NA
Bothrops_leucurus,Viperidae,184.4,"Lira-da-Silva, Rej_ne Maria. ""Bothrops leucurus Wagler, 1824 (Serpentes; Viperidae): natural history, venom and envenomation."" Gazeta M_dica da Bahia 79, no. 1 (2009).",3093,232.6241,182,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.",terrestrial,"Lira-da-Silva, Rej_ne Maria. ""Bothrops leucurus Wagler, 1824 (Serpentes; Viperidae): natural history, venom and envenomation."" Gazeta M_dica da Bahia 79, no. 1 (2009).",1,no,0.915,Bothrops_leucurus,0.545-2.005,95_confidence_interval,iv,mammal,Mus_musculus,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.",0,0,12.8,28.2,2.6,0,56.4,no,"Martins, M.A.R.C.I.O., Marques, O.A. and Sazima, I.V.A.N., 2002. Ecological and phylogenetic correlates of feeding habits in Neotropical pitvipers of the genus Bothrops. Biology of the Vipers, pp.307-328.",NA,NA
Bothrops_leucurus,Viperidae,184.4,"Lira-da-Silva, Rej_ne Maria. 2009. Bothrops leucurus Wagler, 1824 (Serpentes; Viperidae): natural history, venom and envenomation. Gazeta M_dica da Bahia 79, no. 1.",3093,232.6241,182,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.",terrestrial,"Lira-da-Silva, Rej_ne Maria. ""Bothrops leucurus Wagler, 1824 (Serpentes; Viperidae): natural history, venom and envenomation."" Gazeta M_dica da Bahia 79, no. 1 (2009).",1,no,4.28,Bothrops_leucurus,3.73-4.95,95_confidence_interval,ip,mammal,Mus_musculus,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.",0,0,12.8,28.2,2.6,0,56.4,no,"Martins, M.A.R.C.I.O., Marques, O.A. and Sazima, I.V.A.N., 2002. Ecological and phylogenetic correlates of feeding habits in Neotropical pitvipers of the genus Bothrops. Biology of the Vipers, pp.307-328.",NA,NA
Bothrops_moojeni,Viperidae,230,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",5883,266.317275,183,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.; De Roodt A.R., Dolab J.A., Gallarce P.P., Gould E., Litwin S., Dokmetjian, J.C., Segre L. and Vidal J.C. (1998) A study on the venom yield of venomous snake species from Argentina. Toxicon, Vol. 36, pp 1949-1957. ",terrestrial,"Martins, M., Araujo, M.S., Sawaya, R.J. and Nunes, R., 2001. Diversity and evolution of macrohabitat use, body size and morphology in a monophyletic group of Neotropical pitvipers (Bothrops). Journal of Zoology, 254(4), pp.529-538.",1,no,4.7,Bothrops_moojeni,,none given,ip,mammal,Mus_musculus,"da Silva, N.J. and Aird, S.D., 2001. Prey specificity, comparative lethality and compositional differences of coral snake venoms. Comparative Biochemistry and Physiology Part C: Toxicology & Pharmacology, 128(3), pp.425-456.",0,0.9,33.6,20.6,2.8,0,42.1,no,"Martins, M.A.R.C.I.O., Marques, O.A. and Sazima, I.V.A.N., 2002. Ecological and phylogenetic correlates of feeding habits in Neotropical pitvipers of the genus Bothrops. Biology of the Vipers, pp.307-328.",1066.807,NA
Bothrops_moojeni,Viperidae,230,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",5883,299.0831,183,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.; De Roodt A.R., Dolab J.A., Gallarce P.P., Gould E., Litwin S., Dokmetjian, J.C., Segre L. and Vidal J.C. (1998) A study on the venom yield of venomous snake species from Argentina. Toxicon, Vol. 36, pp 1949-1957. ",terrestrial,"Martins, M., Araujo, M.S., Sawaya, R.J. and Nunes, R., 2001. Diversity and evolution of macrohabitat use, body size and morphology in a monophyletic group of Neotropical pitvipers (Bothrops). Journal of Zoology, 254(4), pp.529-538.",1,no,11.8,Bothrops_moojeni,,none given,ip,lizard,Amphisbaena_cunhai,"da Silva, N.J. and Aird, S.D., 2001. Prey specificity, comparative lethality and compositional differences of coral snake venoms. Comparative Biochemistry and Physiology Part C: Toxicology & Pharmacology, 128(3), pp.425-456.",0,0.9,33.6,20.6,2.8,0,42.1,no,"Martins, M.A.R.C.I.O., Marques, O.A. and Sazima, I.V.A.N., 2002. Ecological and phylogenetic correlates of feeding habits in Neotropical pitvipers of the genus Bothrops. Biology of the Vipers, pp.307-328.",1066.807,NA
Bothrops_moojeni,Viperidae,230,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",5883,299.0831,183,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.; De Roodt A.R., Dolab J.A., Gallarce P.P., Gould E., Litwin S., Dokmetjian, J.C., Segre L. and Vidal J.C. (1998) A study on the venom yield of venomous snake species from Argentina. Toxicon, Vol. 36, pp 1949-1957. ",terrestrial,"Martins, M., Araujo, M.S., Sawaya, R.J. and Nunes, R., 2001. Diversity and evolution of macrohabitat use, body size and morphology in a monophyletic group of Neotropical pitvipers (Bothrops). Journal of Zoology, 254(4), pp.529-538.",1,no,13.4,Bothrops_moojeni,,none given,im,lizard,Liophis_typhlus,"da Silva, N.J. and Aird, S.D., 2001. Prey specificity, comparative lethality and compositional differences of coral snake venoms. Comparative Biochemistry and Physiology Part C: Toxicology & Pharmacology, 128(3), pp.425-456.",0,0.9,33.6,20.6,2.8,0,42.1,no,"Martins, M.A.R.C.I.O., Marques, O.A. and Sazima, I.V.A.N., 2002. Ecological and phylogenetic correlates of feeding habits in Neotropical pitvipers of the genus Bothrops. Biology of the Vipers, pp.307-328.",1066.807,NA
Bungarus_multicinctus,Elapidae,185,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1109,393.9077774,7.8,"Gopalakrishnakone, P. and Chou, L.M., 1990. Snakes of medical importance (Asia-Pacific region). National University of Singapore; Sawai Y. (1976) Medical treatment of snakebites. 2. Southeast Asia. The Snake, Vol. 8(1), pp 1-30. ",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). ",3,no,0.019,Bungarus_multicinctus,,cant get page,ip,mammal,Mus_musculus,"Crosland, R.D., 1988. Effect of chloroquine on toxicity in mice of the venom and neurotoxins from the snake Bungarus multicinctus. Journal of Pharmacology and Experimental Therapeutics, 246(3), pp.992-995.",76,0,0,24,0,0,0,no,"Mao, S.H., 1970. Food of the common venomous snakes of Taiwan. Herpetologica, pp.45-48.",94.9,2460
Bungarus_multicinctus,Elapidae,185,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1109,393.9077774,7.8,"Gopalakrishnakone, P. and Chou, L.M., 1990. Snakes of medical importance (Asia-Pacific region). National University of Singapore; Sawai Y. (1976) Medical treatment of snakebites. 2. Southeast Asia. The Snake, Vol. 8(1), pp 1-30. ",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). ",3,no,0.16,Bungarus_multicinctus,,,sc,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,76,0,0,24,0,0,0,no,"Mao, S.H., 1970. Food of the common venomous snakes of Taiwan. Herpetologica, pp.45-48.",94.9,2460
Bungarus_multicinctus,Elapidae,185,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1109,393.9077774,7.8,"Gopalakrishnakone, P. and Chou, L.M., 1990. Snakes of medical importance (Asia-Pacific region). National University of Singapore; Sawai Y. (1976) Medical treatment of snakebites. 2. Southeast Asia. The Snake, Vol. 8(1), pp 1-30. ",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). ",3,no,0.071,Bungarus_multicinctus,,none given,iv,mammal,Mus_musculus,"Kocholaty, W.F., Ledford, E.B., Daly, J.G. and Billings, T.A., 1971. Toxicity and some enzymatic properties and activities in the venoms of Crotalidae, Elapidae and Viperidae. Toxicon, 9(2), pp.131-138.",76,0,0,24,0,0,0,no,"Mao, S.H., 1970. Food of the common venomous snakes of Taiwan. Herpetologica, pp.45-48.",94.9,2460
Bungarus_multicinctus,Elapidae,185,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1109,393.9077774,7.8,"Gopalakrishnakone, P. and Chou, L.M., 1990. Snakes of medical importance (Asia-Pacific region). National University of Singapore; Sawai Y. (1976) Medical treatment of snakebites. 2. Southeast Asia. The Snake, Vol. 8(1), pp 1-30. ",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). ",3,no,0.08,Bungarus_multicinctus,,none given,ip,mammal,Mus_musculus,"Kocholaty, W.F., Ledford, E.B., Daly, J.G. and Billings, T.A., 1971. Toxicity and some enzymatic properties and activities in the venoms of Crotalidae, Elapidae and Viperidae. Toxicon, 9(2), pp.131-138.",76,0,0,24,0,0,0,no,"Mao, S.H., 1970. Food of the common venomous snakes of Taiwan. Herpetologica, pp.45-48.",94.9,2460
Bungarus_multicinctus,Elapidae,185,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1109,393.9077774,7.8,"Gopalakrishnakone, P. and Chou, L.M., 1990. Snakes of medical importance (Asia-Pacific region). National University of Singapore; Sawai Y. (1976) Medical treatment of snakebites. 2. Southeast Asia. The Snake, Vol. 8(1), pp 1-30. ",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). ",3,no,0.2,Bungarus_multicinctus,,,iv,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,76,0,0,24,0,0,0,no,"Mao, S.H., 1970. Food of the common venomous snakes of Taiwan. Herpetologica, pp.45-48.",94.9,2460
Bungarus_multicinctus,Elapidae,185,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1109,393.9077774,7.8,"Gopalakrishnakone, P. and Chou, L.M., 1990. Snakes of medical importance (Asia-Pacific region). National University of Singapore; Sawai Y. (1976) Medical treatment of snakebites. 2. Southeast Asia. The Snake, Vol. 8(1), pp 1-30. ",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). ",3,no,0.005,Bungarus_multicinctus,,,sc,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,76,0,0,24,0,0,0,no,"Mao, S.H., 1970. Food of the common venomous snakes of Taiwan. Herpetologica, pp.45-48.",94.9,2460
Bungarus_multicinctus,Elapidae,185,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1109,383.0666663,7.8,"Gopalakrishnakone, P. and Chou, L.M., 1990. Snakes of medical importance (Asia-Pacific region). National University of Singapore; Sawai Y. (1976) Medical treatment of snakebites. 2. Southeast Asia. The Snake, Vol. 8(1), pp 1-30. ",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). ",3,no,0.00078,Bungarus_multicinctus,0.00101-0.0006,95_confidence_interval,im,bird,Columba_sp,"Lee, C.Y. and Tseng, L.F., 1969. Species differences in susceptibility to elapid venoms. Toxicon, 7(2), pp.89-93.",76,0,0,24,0,0,0,no,"Mao, S.H., 1970. Food of the common venomous snakes of Taiwan. Herpetologica, pp.45-48.",94.9,2460
Bungarus_multicinctus,Elapidae,185,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1109,383.0666663,7.8,"Gopalakrishnakone, P. and Chou, L.M., 1990. Snakes of medical importance (Asia-Pacific region). National University of Singapore; Sawai Y. (1976) Medical treatment of snakebites. 2. Southeast Asia. The Snake, Vol. 8(1), pp 1-30. ",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). ",3,no,0.00095,Bungarus_multicinctus,0.00114-0.00079,95_confidence_interval,im,bird,Gallus_domesticus,"Lee, C.Y. and Tseng, L.F., 1969. Species differences in susceptibility to elapid venoms. Toxicon, 7(2), pp.89-93.",76,0,0,24,0,0,0,no,"Mao, S.H., 1970. Food of the common venomous snakes of Taiwan. Herpetologica, pp.45-48.",94.9,2460
Bungarus_multicinctus,Elapidae,185,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1109,383.0666663,7.8,"Gopalakrishnakone, P. and Chou, L.M., 1990. Snakes of medical importance (Asia-Pacific region). National University of Singapore; Sawai Y. (1976) Medical treatment of snakebites. 2. Southeast Asia. The Snake, Vol. 8(1), pp 1-30. ",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). ",3,no,0.00031,Bungarus_multicinctus,0.00036-0.00027,95_confidence_interval,im,bird,Lonchura_striata,"Lee, C.Y. and Tseng, L.F., 1969. Species differences in susceptibility to elapid venoms. Toxicon, 7(2), pp.89-93.",76,0,0,24,0,0,0,no,"Mao, S.H., 1970. Food of the common venomous snakes of Taiwan. Herpetologica, pp.45-48.",94.9,2460
Bungarus_multicinctus,Elapidae,185,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1109,393.9077774,7.8,"Gopalakrishnakone, P. and Chou, L.M., 1990. Snakes of medical importance (Asia-Pacific region). National University of Singapore; Sawai Y. (1976) Medical treatment of snakebites. 2. Southeast Asia. The Snake, Vol. 8(1), pp 1-30. ",aquatic,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). ",3,no,0.16,Bungarus_multicinctus,0.22-0.12,95_confidence_interval,im,mammal,Mus_musculus,"Lee, C.Y. and Tseng, L.F., 1969. Species differences in susceptibility to elapid venoms. Toxicon, 7(2), pp.89-93.",76,0,0,24,0,0,0,no,"Mao, S.H., 1970. Food of the common venomous snakes of Taiwan. Herpetologica, pp.45-48.",94.9,2460
Causus_rhombeatus,Viperidae,93,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",422,556.5,25,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.",terrestrial,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",1,no,8.75,Causus_rhombeatus,,,iv,mammal,Mus_musculus,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",0,100,0,0,0,0,0,no,"Ineich, I., Bonnet, X., Shine, R., Shine, T., Brischoux, F., Lebreton, M. and Chirio, L., 2006. What, if anything, is a _typical迅iper? Biological attributes of basal viperid snakes (genus Causus Wagler, 1830). Biological Journal of the Linnean Society, 89(4), pp.575-588.",0.0085,0.0085
Causus_rhombeatus,Viperidae,93,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",422,556.5,25,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.",terrestrial,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",1,no,15,Causus_rhombeatus,,,sc,mammal,Mus_musculus,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",0,100,0,0,0,0,0,no,"Ineich, I., Bonnet, X., Shine, R., Shine, T., Brischoux, F., Lebreton, M. and Chirio, L., 2006. What, if anything, is a _typical迅iper? Biological attributes of basal viperid snakes (genus Causus Wagler, 1830). Biological Journal of the Linnean Society, 89(4), pp.575-588.",0.0085,0.0085
